"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@moviemenfes Pantes sri asih dh lama ga update webtoon, ternyata dibikin filmnya yh",FALSE,0,"moviemenfes",2022-11-23 04:04:06,FALSE,"1595219337182265345","1595266918545756162","1565895180","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ranningawayyy",0,FALSE,FALSE,NA,NA
"2","@irvxan @razaksyarif IMO, Qodrat karena genre filmnya jg beda kak. Habis ini Keramat 2 mungkin malah berpotensi ang… https://t.co/xVIrDWWDbm",FALSE,0,"irvxan",2022-11-23 04:03:00,TRUE,"1595246821315842048","1595266642220834816","1157241883606732800","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mchlrs_",0,FALSE,FALSE,NA,NA
"3","@razaksyarif Udah nonton Sri Asih. Bagus.
Tapi kl h2h sama BP2 ya yg termasuk film dgn citra baik, mesti kebanting… https://t.co/tOrk9cXjIg",FALSE,0,"razaksyarif",2022-11-23 04:01:16,TRUE,"1595245776082702336","1595266203395969024","99124744","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mchlrs_",0,FALSE,FALSE,NA,NA
"4","@WorldOfGundala Setuju, 👁️malaikat bukn panglima dewi 🔥,krn konsepny msih 1 wktu tp beda ruang (gundala,sri asih,go… https://t.co/W8roNkbRcw",FALSE,0,"WorldOfGundala",2022-11-23 04:00:57,TRUE,"1595202790351024128","1595266125558067200","1318318018686898176","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","han_fatalizious",0,FALSE,FALSE,NA,NA
"5","Bintangi sederet film naik daun di tahun 2022 seperti Sri Asih dan Srimulat: Hil yang Mustahal, yuk simak profil ak… https://t.co/hp7XDtmTdv",FALSE,0,NA,2022-11-23 04:00:09,TRUE,NA,"1595265925045194754",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ThePhraseID",0,FALSE,FALSE,NA,NA
"6","Masih aja ga terima klo gw bilang CGI #SriAsih ga wah, yg bilang CGI nya jelek siapa? Kok pd demen banget masukin a… https://t.co/KuXi77k9ac",FALSE,0,NA,2022-11-23 03:58:52,TRUE,NA,"1595265599889821697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","er2en",0,FALSE,FALSE,NA,NA
"7","@sofyantanianur @azoong_ @elfan_ab Sug tak kiro Sri Asih rabi sih",FALSE,0,"sofyantanianur",2022-11-23 03:57:24,FALSE,"1595261374334390273","1595265233807110144","1073240848710520832","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UcupGreget",0,FALSE,FALSE,NA,NA
"8","heran bgt, Pevita as Sri Asih pas berantem tuh rambutnya stay gak ada acak-acakan terus kek, ✨sempurna✨ bgt dah😭 bi… https://t.co/sbeINtHOXP",FALSE,0,"tuiterhanip",2022-11-23 03:56:37,TRUE,"1595265031318695937","1595265036108574722","2401178636","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tuiterhanip",0,FALSE,FALSE,NA,NA
"9","REVIEW SRI ASIH

⚠️ warning ⚠️
gue kasi spoiler tipis-tipis biar penasaran.

film superhero terkereennnnz menurut g… https://t.co/fFFvtPq4RP",FALSE,1,NA,2022-11-23 03:56:31,TRUE,NA,"1595265009432788993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tuiterhanip",0,FALSE,FALSE,NA,NA
"10","Buruan nonton SRI ASIH biar bisa liat ini: https://t.co/DjLyVawia7",FALSE,8,NA,2022-11-23 03:53:20,FALSE,NA,"1595264210329808897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HabisNontonFilm",1,FALSE,FALSE,NA,NA
"11","@tanyakanrl Sri Asih, BP, the fabelmans.. coba aja cek trailernya dl",FALSE,0,"tanyakanrl",2022-11-23 03:53:18,FALSE,"1595263440058142720","1595264201857335297","1331650559518990336","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biajtch",0,FALSE,FALSE,NA,NA
"12","Ingin nonton, mending sri asih apa wakanda?",FALSE,1,NA,2022-11-23 03:50:08,FALSE,NA,"1595263402766610432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akireda_",0,FALSE,FALSE,NA,NA
"13","SRI ASIH - OFFICIAL TRAILER | Tayang di XXI mulai…: https://t.co/0wpqDYFRqr",FALSE,1,NA,2022-11-23 03:49:54,FALSE,NA,"1595263342901620736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","masalvi21317613",0,FALSE,FALSE,NA,NA
"14","mending nonton black panther apa sri asih?",FALSE,2,NA,2022-11-23 03:48:42,FALSE,NA,"1595263043910635521",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mimiknenen",0,FALSE,FALSE,NA,NA
"15","Jatmiko (Sri Asih, 2022) is queer coded",FALSE,0,NA,2022-11-23 03:48:14,FALSE,NA,"1595262924922421248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","semuasiji",0,FALSE,FALSE,NA,NA
"16","nonton sri asih kali ya nanti",FALSE,1,NA,2022-11-23 03:47:07,FALSE,NA,"1595262643107172352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dxmarru",0,FALSE,FALSE,NA,NA
"17","@mks_fess sri asih nder, recomended",FALSE,0,"mks_fess",2022-11-23 03:43:55,FALSE,"1595252788576935937","1595261839746936832","1246805274133852160","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cgaretsaftrmeal",0,FALSE,FALSE,NA,NA
"18","qodrat udah 1,7 jt penonton, sri asih nyusul yuk nyusul",FALSE,0,NA,2022-11-23 03:41:53,FALSE,NA,"1595261325906653185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","penggiladosa",0,FALSE,FALSE,NA,NA
"19","@WorldOfGundala Ini foto pas di gala premier sri asih",FALSE,0,"WorldOfGundala",2022-11-23 03:36:28,FALSE,"1595044513571307520","1595259961759928322","1318318018686898176","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","han_fatalizious",0,FALSE,FALSE,NA,NA
"20","@vedahmed 😍😍😍 sri asih",FALSE,1,"vedahmed",2022-11-23 03:32:52,FALSE,"1595169677600296979","1595259059606806528","296043424","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yaya_agha",0,FALSE,FALSE,NA,NA
"21","@moviemenfes sri asih dule kdong @frd__________",FALSE,1,"moviemenfes",2022-11-23 03:32:03,FALSE,"1595219337182265345","1595258850176733184","1565895180","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","azzfdd",0,FALSE,FALSE,NA,NA
"22","Review Film Sri Asih versi Ceon bisa ditonton di
YouTube : https://t.co/tZW2veM6aN
Bstation :… https://t.co/nZ3ocAkEaW",FALSE,3,NA,2022-11-23 03:31:39,TRUE,NA,"1595258752986644481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CeonHectorvia",0,FALSE,FALSE,NA,NA
