"","klasifikasi","score","text"
"1","Netral",0," pantes sri asih dh  ga uate webtoon  dibikin filmnya yh"
"2","Netral",0," imo qodrat  genre filmnya jg beda kak habis  keramat    bertensi ang "
"3","Netral",0,"   sri asih bagusta kl hh  bp ya   film dgn citra baik  kebanting "
"4","Netral",0," setuju malaikat bukn nglima dewi krn konsey msih  wktu tbeda ruang gundalasri asihgo "
"5","Netral",0,"bintangi sederet film  daun    serti sri asih  srimulat hil  mustahal yuk simak ofil ak "
"6","Netral",0,"  ga terima klo  bilang cgi sriasih ga   bilang cgi  jelek sia  demen banget masukin a "
"7","Negatif",-1," sug  kiro sri asih rabi sih"
"8","Positif",1,"heran  pevita as sri asih s berantem tuh rambutnya stay   acakacakan  kek semrna   bi "
"9","Netral",0,"review sri asih warning  kasi siler tistis biar nasaranfilm surhero terkereennnnz  g "
"10","Netral",0,"buruan  sri asih biar  liat  "
"11","Netral",0," sri asih bp the fabelmans coba  cek trailernya dl"
"12","Netral",0,"  mending sri asih a wakanda"
"13","Netral",0,"sri asih  official trailer  tayang  xxi  "
"14","Netral",0,"mending  black nther a sri asih"
"15","Netral",0,"jatmiko sri asih  is queer coded"
"16","Netral",0," sri asih kali ya "
"17","Netral",0," sri asih nder recomended"
"18","Netral",0,"qodrat   jt  sri asih nyusul yuk nyusul"
"19","Netral",0,"  foto s  gala emier sri asih"
"20","Netral",0,"  sri asih"
"21","Netral",0," sri asih dule kdong "
"22","Negatif",-2,"review film sri asih versi ceon  ditonton diyoutube bstation  "
"23","Positif",1,"jastibooking jual tiket  xxi cgvfee free alias gratis adminada omo diskonblack nther wakanda foreve "
"24","Netral",0," sri asih"
"25","Positif",3,"sri asih taml memukau  babak rtama plotnya det cinematografinya keren banget koreografinya juara "
"26","Netral",0,"cocologiku gi  cover theme antom ngingetin  jeng sri asih sumh ga boong   s gitu temanya red "
"27","Negatif",-1,"gua butuh riu film sri asih wakanda  the menu"
"28","Netral",0,"udh  sri asih  om "
"29","Negatif",-1," film  randy koroms   jorjoran  cgi karna terlibat  sutradara beda   han "
"30","Netral",0,"membedah film sri asih"
"31","Negatif",-3,"  teduh  ngeh  tementeman bak ibunya sia    ngeh  pevita main sri asih li "
"32","Negatif",-1,"  suka sri asihasli bener bener ga nyangka sih endingnya   bener bener ah"
"33","Negatif",-1," a  sih keistimewaan  asalusul  sri asih  a  faktafakta menarik  jagoan kesayang "
"34","Negatif",-1,"sia  sri asihsri asih  jagoan rtama indonesia  jagoan reman rtama indonesia karakter "
"35","Positif",3,"gila film sri asih keren  surhero cewek   coba  cita cantik banget  mah beneran sinema "
"36","Positif",1,"review   sri asih  dibaca   yaaa"
"37","Netral",0,"sri asih   berantem  wakanda forever  biosko    the fabelsman  the menu"
"38","Netral",0,"ijinkan   thread membedah film sri asih   mohon maaf   ty yaaa  s ngetik ant "
"39","Netral",0,"misteri    mengganjal  sri asih  motivasi ghazul   bebera teori ta mending disi "
"40","Positif",1," genre   beda ya  nggunaannya beda klo bahas kualitas jgn liat kuantita "
"41","Netral",0," bisanya mimin sri asih"
"42","Netral",0," kemaren lusa  semangat bgd   sri asih karna horor kirain s tudei tau sur hero kayaknya ga jdi "
"43","Netral",0," ijo ijo kek sri asih "
"44","Netral",0,"kangen sri asih"
"45","Netral",0," sri asih sur hero w  film horor "
"46","Netral",0," desember   sri asih   ah"
"47","Positif",3,"semalam  sri asih karya kak keren banget plot twistnya ga nyangka b "
"48","Netral",0," n nntn sri asih"
"49","Netral",0," cgi  mrs emang bagus ta   sri asihdengan rsi  x lit sam detail "
"50","Positif",1," ah tikal ruangan lokal klasik runya  mengangguk mafhum mendati  sri asih  li "
"51","Netral",0," sri asih bagus kayanya"
"52","Positif",1,"  melewatkan aksi najwa shihab  film sri asih "
"53","Positif",1,"matur suwun suroboyo terima kasih  mengijinkan  mamr  beraktivitas  sriasih  hadir d "
"54","Netral",0,"sri asih sabi si"
"55","Negatif",-1,"saking males  rumah  skinonton film bagus   black adam black nther sri asih  kyknya  avatar "
"56","Positif",1,"sri asih gt gt gt gt gt gt gt gt gt gt gt the menujadi is ya nontonnikmatsinefil lokal   bijak uang   b "
"57","Netral",0,"    benang merah  sri asih  gundala  bcu   titel   secar "
"58","Netral",0,"blm  sri asih bagus "
"59","Netral",0,"   duanya gaada  netflixkedua netflix n chill   istilah  tet  maksudm "
"60","Netral",0," sri asih   ga ngikutin marvel"
"61","Netral",0,"mencuri raden saleh  film indonesia terbaik  rnah sy tonton disusul no  sri asih no  gundala"
"62","Netral",0,"sri asih    yh  ok sie visual   ya surhero  niee waswus duaaar visual effect cg "
"63","Netral",0,"oh iya  timeline film sri asih  keliatan  gundala ta kayanya   titik    tim "
"64","Netral",0,"pengen nnton sri asih"
"65","Netral",0,"   sri asih   ta  lupa  atm  papaa  uang  disana "
"66","Positif",1,"film sri asih dibikin poster ala drakor  penggemar jefri nichol   cerita cintata "
"67","Netral",0," wakanda  emang suka marvel ta    sri asih "
"68","Netral",0,"     film  biar  nyambung for me yha t sri asih "
"69","Netral",0," sri asih"
"70","Positif",2,"   ibadi   sri asih  filmnya beneran seru banget    saranin sender  "
"71","Netral",0," sri asih  nder"
"72","Netral",0,"si bangsat giliran dikasih film superhero  jatohnya gebrakan  film indonesia kagak   hadehhh mauny "
"73","Positif",1," ajak     sri asih then  bilang     minat  film hero indonesia kaya "
"74","Netral",0," sri asih nder  sri asih nder"
"75","Netral",0,"  sri asih "
